id,label,properties
701,person,name,P Stolpe
1443,person,name,A. van Kuijk
3004,person,name,Gaston
3941,person,name,Dohmen
1060,person,name,"Visser, B."
3805,person,name,"Kemp, B. "
2079,person,name,"Gall, Kei"
2252,person,name,"Tuinstra, Rapkje [widdow Tjerk de Boer]"
4096,person,name,"Crielaard, G."
2871,person,name,"Meijer, Berend"
2200,person,name,"Bekkema, Jehan J."
2323,person,name,"Sipma, Jehannes [Johannes]"
3141,person,name,"Peters, M."
1327,person,name,"Dunnen, W. den"
181,person,name,Behnk
2484,person,name,"Hooijenga, Hâns H."
2172,person,name,"Ekeren, E.J. van"
1321,person,name,"v.d. Ven, Elias"
351,person,name,Kristian Larsen
2282,person,name,"Kooistra - van der Weide, Hiltje"
2409,person,name,"Boer, Sipke de"
3821,person,name,"Engels-Lemmen, Maria "
1439,person,name,F. Nouwens
4019,person,name,"Jong, Jan de (2)"
1278,person,name,"van Rheen, M."
2338,person,name,"Willeke van Jaonekes, bijgenaamd Kulhannes"
2543,person,name,"Vogt - de Vries, Gepke"
1368,person,name,M. van Drunen
1244,person,name,"Krul, G."
1396,person,name,Mevrouw Slagmolen
3809,person,name,"Graaf, K. de "
837,person,name,Peder Nielsen
94,person,name,Dammann
2459,person,name,"Heide, Oeds van der"
2857,person,name,"Wagenaar, Tsjibbe"
591,person,name,A  Eriksen
1005,person,name,"Oosterwijk, Mevrouw"
3722,person,name,"Milder, A. Th."
3011,person,name,"Cohen, Josef"
187,person,name,Harwel
1205,person,name,G. Boskaljon
26,person,name,Klänhammer
2113,person,name,"Boekhorst, Te"
2405,person,name,"Haan, Marten (Harm(en)s) de [bijnaam: Marten Slinger]"
3189,person,name,"Sonius, H."
1166,person,name,W. Kool
1495,person,name,C. van Oers
89,person,name,H. Dunze
3986,person,name,"Ruigrok, S.P."
260,person,name,Henrik Pedersen
2097,person,name,"Jansen, Th."
212,person,name,Meyer
1252,person,name,"Vink, H."
4136,person,name,"Derks, J."
1615,person,name,"Wanrooy, G. van"
2138,person,name,"Bindsbergen, A.J. van (Bart)"
1945,person,name,"Knoors, R.H."
4084,person,name,"Struijk, J."
2237,person,name,"Bekkema, Ritske [bijnaam: Zwarte Ritske]"
966,person,name,"Viveen, D."
744,person,name,Kirsten Olesen
912,person,name,"Vries, Kobus de"
3415,person,name,"Schennink, L."
452,person,name,Kristoffer Jensen
432,person,name,Chr  Weiss
1925,person,name,"Huisman, Sake"
2390,person,name,"Ploeg, Sape van der"
2430,person,name,"Jong - Zuidema, Hinke de"
2841,person,name,"Hoekstra - Van Seggeren, Baukje"
4131,person,name,"den Hartog, F."
2244,person,name,"Rienstra, Rients"
2455,person,name,"Dijk, Oene"
65,person,name,Bonahtz
578,person,name,Holger Rørdam
2518,person,name,"Heide, Jakob van der"
600,person,name,Knud Andersen
2278,person,name,"Berg, Harm van den"
3898,person,name,"Kuipers, Andreas Johannes"
2502,person,name,"Weening, Freerk"
2033,person,name,"Spinder, Simen"
2086,person,name,"Stinissen, Hend"
2976,person,name,"V. d. Meyden, Toon"
1293,person,name,"van Eck, K."
2536,person,name,"Dijkstra, Uilke"
