src-id,dst-id,label,properties
19233,19237,date-of-narration
24989,9156,date-of-narration
1075,291,date-of-narration
5989,723,date-of-narration
6562,419,date-of-narration
6691,273,date-of-narration
13120,13119,date-of-narration
11783,11793,date-of-narration
5834,723,date-of-narration
24930,24913,date-of-narration
11731,10628,date-of-narration
18516,18453,date-of-narration
24599,24593,date-of-narration
6895,291,date-of-narration
24629,24623,date-of-narration
24093,24096,date-of-narration
7786,7794,date-of-narration
4052,419,date-of-narration
22117,22072,date-of-narration
8556,7617,date-of-narration
7374,419,date-of-narration
18039,18029,date-of-narration
16169,16168,date-of-narration
11131,11130,date-of-narration
14965,14967,date-of-narration
17796,17791,date-of-narration
14025,14030,date-of-narration
25851,25853,date-of-narration
15172,15171,date-of-narration
15374,15375,date-of-narration
14615,14619,date-of-narration
21759,21545,date-of-narration
7507,273,date-of-narration
9734,9733,date-of-narration
5055,723,date-of-narration
15579,15578,date-of-narration
6305,291,date-of-narration
16170,16168,date-of-narration
23882,11173,date-of-narration
16496,16495,date-of-narration
1919,291,date-of-narration
940,419,date-of-narration
15232,15235,date-of-narration
12040,12041,date-of-narration
13738,13744,date-of-narration
21241,21245,date-of-narration
14797,14800,date-of-narration
13745,13744,date-of-narration
12672,12677,date-of-narration
20131,19075,date-of-narration
7978,291,date-of-narration
7983,90,date-of-narration
17150,17053,date-of-narration
20359,19075,date-of-narration
9628,9632,date-of-narration
9411,9419,date-of-narration
24594,24593,date-of-narration
7560,548,date-of-narration
14906,14909,date-of-narration
7157,291,date-of-narration
7042,291,date-of-narration
14874,14876,date-of-narration
15082,15077,date-of-narration
19435,12984,date-of-narration
17854,17848,date-of-narration
7128,291,date-of-narration
16745,16647,date-of-narration
20198,20197,date-of-narration
24737,10638,date-of-narration
17930,17909,date-of-narration
5710,392,date-of-narration
23657,21900,date-of-narration
6438,291,date-of-narration
18892,18898,date-of-narration
4778,273,date-of-narration
15191,15179,date-of-narration
17373,17053,date-of-narration
16173,16175,date-of-narration
20115,19075,date-of-narration
2370,291,date-of-narration
7665,7605,date-of-narration
14772,14771,date-of-narration
7320,419,date-of-narration
8526,7605,date-of-narration
5932,273,date-of-narration
12283,12282,date-of-narration
20469,20465,date-of-narration
25918,25922,date-of-narration
16672,16669,date-of-narration
25935,25858,date-of-narration
7264,419,date-of-narration
9831,9830,date-of-narration
25036,9156,date-of-narration
2475,419,date-of-narration
21092,12928,date-of-narration
24684,24686,date-of-narration
4171,273,date-of-narration
27100,26478,date-of-narration
