id,label,properties
21401,date,datetime,1968-05-27
132,date,datetime,1924-07-18
15300,date,datetime,1969-05-14
26605,date,datetime,1910-03-28
13427,date,datetime,1967-09-10
25779,date,datetime,1912-07-23
20420,date,datetime,2006-11-15
13728,date,datetime,1968-03-01
17559,date,datetime,1937-04-01
11470,date,datetime,1905-04-12
12157,date,datetime,1966-06-25
11020,date,datetime,1977-08-01
14895,date,datetime,1969-02-19
17687,date,datetime,1910-11-05
13928,date,datetime,1964-12-31
13298,date,datetime,1967-09-02
19016,date,datetime,1892-02-01
26503,date,datetime,1911-08-05
11960,date,datetime,1966-04-01
14021,date,datetime,1968-05-14
14139,date,datetime,1968-06-16
20289,date,datetime,1925-12-24
20327,date,datetime,1965-08-02
14802,date,datetime,1968-12-17
27040,date,datetime,1911-07-19
24889,date,datetime,1903-10-23
14043,date,datetime,1968-04-24
10270,date,datetime,1963-11-27
18051,date,datetime,1973-05-25
8890,date,datetime,1963-01-01
13439,date,datetime,1967-11-01
26268,date,datetime,1933-08-12
18345,date,datetime,1974-04-02
18884,date,datetime,1892-04-01
18282,date,datetime,1974-03-13
13967,date,datetime,1968-03-10
13615,date,datetime,1968-01-16
791,date,datetime,1893-01-01
15372,date,datetime,1969-07-11
18470,date,datetime,1859-01-01
21189,date,datetime,2007-04-19
14273,date,datetime,1968-08-17
23537,date,datetime,1962-12-17
19932,date,datetime,1963-03-11
20699,date,datetime,1965-02-27
14498,date,datetime,1968-07-27
21388,date,datetime,1967-10-20
25926,date,datetime,1931-08-30
26612,date,datetime,1935-07-28
9809,date,datetime,1963-09-27
13294,date,datetime,1967-07-29
9026,date,datetime,1966-01-17
26070,date,datetime,1915-12-27
16285,date,datetime,1979-09-27
13154,date,datetime,1966-05-30
16582,date,datetime,1971-09-25
26352,date,datetime,1923-03-06
15416,date,datetime,1969-08-03
25874,date,datetime,1911-12-19
12560,date,datetime,2000-06-14
21926,date,datetime,1985-01-01
26227,date,datetime,1922-08-09
26712,date,datetime,1930-10-09
24892,date,datetime,1903-12-27
9565,date,datetime,1919-01-01
16643,date,datetime,1972-09-20
16186,date,datetime,1979-08-04
14882,date,datetime,1969-02-17
9703,date,datetime,1963-09-08
13475,date,datetime,1968-05-09
9830,date,datetime,1963-09-30
10734,date,datetime,1976-04-01
26358,date,datetime,1937-06-21
10704,date,datetime,1976-03-01
25407,date,datetime,1925-07-23
16261,date,datetime,1979-09-08
26215,date,datetime,1934-08-10
23112,date,datetime,1967-08-01
21240,date,datetime,1967-02-11
26260,date,datetime,1927-05-30
21303,date,datetime,1967-03-30
22698,date,datetime,1965-05-02
21458,date,datetime,2007-07-31
13080,date,datetime,1967-05-30
14113,date,datetime,1968-05-26
26029,date,datetime,1927-04-17
25610,date,datetime,1917-10-04
21997,date,datetime,2008-01-15
18446,date,datetime,1842-01-01
19183,date,datetime,1966-05-19
24176,date,datetime,1963-01-12
14319,date,datetime,1968-08-19
19066,date,datetime,2005-10-18
19271,date,datetime,1967-01-01
20450,date,datetime,1963-06-22
25572,date,datetime,1909-07-23
15700,date,datetime,1974-04-12
26549,date,datetime,1920-06-27
23262,date,datetime,1962-08-01
23444,date,datetime,1962-12-11
25841,date,datetime,1919-08-01
14264,date,datetime,1968-09-01
15564,date,datetime,1969-08-25
26369,date,datetime,1936-12-25
20568,date,datetime,2006-11-25
20197,date,datetime,1963-03-26
18078,date,datetime,1973-06-13
13215,date,datetime,1967-06-01
16472,date,datetime,1971-06-07
