id,label,properties
2451,person,name,Peder Thomsen
4308,person,name,Svend Grundtvig
2,person,name,M Nielsen
7277,person,name,Ole Pilgård
5167,person,name,J  D  F  Bøggild
6518,person,name,Anders Lykke
365,person,name,Morten Henrik Eriksen
4825,person,name,Mads Jepsen
7793,person,name,Hansen  Niels
150,person,name,Peder N Ladefoged
7524,person,name,Jensdatter  Marie
4664,person,name,Mette Nielsdatter
2105,person,name,Else Mikaelsdatter
2590,person,name,T Kr Kristensen
7989,person,name,Jensdatter  Ane Marie
6529,person,name,Regnskabsfører P Rasmussens kone
397,person,name,Kristen Sørensen Spillemand
5650,person,name,Lorens Hansen
2744,person,name,Anton Nielsen
3314,person,name,Kirsten Abraham
193,person,name,Friskolelærer Jørgen Hansen
2858,person,name,Christen  Hansen Møller
3094,person,name,Maren Bonde
3253,person,name,Bærtel Krog
4639,person,name,Kristen Vad
6888,person,name,Jens Jensen Skov
8170,person,name,Pedersens  H
2233,person,name,Skrædder J Jensen
356,person,name,Johan Nielsen
6080,person,name,Kristen Olesen
2480,person,name,Peder Johansen
7263,person,name,Lærer L P Lavridsen
6418,person,name,Rasmus Nørregård
1937,person,name,Pastor Jensen
4435,person,name,Johannes Neve
2640,person,name,Mette Kirstine Pedersdatter
5420,person,name,Jeppe Jensen
6334,person,name,Jakobsen  Jens Peter
3072,person,name,Jensine Hansen
5008,person,name,Johan Skjoldborg
4383,person,name,K M Lund
3543,person,name,Peder Kristian Kristiansen
4128,person,name,Anne Andresen
3225,person,name,M  Møller
1902,person,name,Anders Ågård
3080,person,name,Niels Jensen
3132,person,name,Jespersdatter  Ane Malene
7453,person,name,Jakob Peder Wammen
59,person,name,Hans Pedersen
1897,person,name,Søren Iversen
7870,person,name,Peder Johnsen Pedersen
6118,person,name,Lærer B Hansen
8065,person,name,Sørensen  Anton
7570,person,name,Hald  Johanne Pedersdatter
1907,person,name,Ebbe Alexandersen Smed
3580,person,name,Fru Elise Dybdahl
8347,person,name,Johansen  Hans
5473,person,name,Ungkarl Ole Jensen
7000,person,name,Semin Oluf Kristensen
8188,person,name,Rasmussen  N K
7598,person,name,Mette Marie Nørgaard
800,person,name,Jakob Nøhr
4538,person,name,Johannes Grønb  Pedersen
8212,person,name,Jensen  Vilhelmine
8247,person,name,Mortensen  Jes
4792,person,name,Peder Kristian Sørensen
425,person,name,Nicolaj Ehrenreich
247,person,name,Mikkel Sørensen
3448,person,name,And H Poulsen
4316,person,name,Kristen Kjeldsens enke
1523,person,name,Morten Jensen
1158,person,name,Niels Søndergård
8365,person,name,Ane Kirstine Madsen
6687,person,name,Skomager Lars Pedersen
8100,person,name,Larsen  J
1244,person,name,Niels Hansen Li
5124,person,name,Jens Jensen Vånde
3604,person,name,Niels Pedersen
2803,person,name,Fru Louise Sadolin
6907,person,name,Rasmus Elgård
4379,person,name,Frøken Astrid Feilberg
4606,person,name,Mikkel Madsen
8141,person,name,Eskild E  Nørgård
4157,person,name,Jens Pedersen
7552,person,name,Jens Kjær
3158,person,name,Dyrlæge S L Høeg
6628,person,name,L Madsen
6881,person,name,J  V  Nissen
1541,person,name,Lærer S Jørgensen
3611,person,name,Villads Andersen
6937,person,name,N  C  C  Tranberg
7860,person,name,Wulff  Kirstine
2763,person,name,Lærer Fr Vestergård Nielsen
8424,person,name,Poulsen  Madam
2665,person,name,Mariane Troelsdatter
3730,person,name,Lærer P Uhrbrand
2843,person,name,Hansen  Lave
6038,person,name,Peder Jensen
6602,person,name,Christen Sørensen  Brøgger
4369,person,name,Hans Nielsen Nørgård
6323,person,name,O  P  Barsøe
4864,person,name,Frue Jørgensen
5795,person,name,Johanne Marie Jensdatter
6353,person,name,C  F  Læssøe
7919,person,name,Jensen  Kristine
7642,person,name,Gjedved Seminarister
2708,person,name,Povl Madsen
3984,person,name,Mikkelsen  Jens
5482,person,name,B  H  Schak
5528,person,name,Niels Peter Pedersen
7536,person,name,Hansen  Lavrits
6128,person,name,Hans Nielsen
5344,person,name,Iver Bundgårds kone
4389,person,name,Johanne Pedersen
4654,person,name,Regnskabsfører P Rasmussen
8217,person,name,Andersen
6863,person,name,Kristiane Larsdatter
1561,person,name,Maren Jensdatter Skade
1294,person,name,Lavst Jensen
3111,person,name,Pens lærer Ove Holm
7748,person,name,Iversen  H M
2280,person,name,Anders Ålborg
6349,person,name,J Terkelsen
7825,person,name,G  Hoe
8096,person,name,Tovstrup  Jens Kristian
1274,person,name,Niels Mortensen
3144,person,name,L  E  Larsen
505,person,name,Farver  Hans Jensen
3738,person,name,Marius Povlsen
4151,person,name,Peder  Chr. Christensen
3633,person,name,Ungkarl Ole Hansen
8288,person,name,Jørgensen
7674,person,name,Kirsten Olesen
3086,person,name,Peder Sig
5656,person,name,Herman Pedersen
5330,person,name,Forstander Kristian Østergård
7067,person,name,Lærer K Gjørding
1701,person,name,Kjeld Rasmussen
5615,person,name,Signe Christensen Møller
6797,person,name,Ole Bæk
7342,person,name,Stougaard  Martinus
4321,person,name,Maren Nielsen
1741,person,name,Niels Kristian Jensen
267,person,name,Lærer Bau
6823,person,name,Lærer K N Nørby
6095,person,name,H  Anton Bering
7796,person,name,Mortensen  Ane Katrine
7029,person,name,Mette Marie Andersdatter
1200,person,name,Chr  Sørensen
1466,person,name,Lavst Sommer
2530,person,name,Jens Himmerbo
7711,person,name,Erlang  F K
2224,person,name,J Chr Gydesen
3061,person,name,Anders Kristian Smed
7821,person,name,Catrine Tafteberg
5050,person,name,Mette Marie Hansdatter
2253,person,name,Ungkarl J Kr Krabbe
3002,person,name,N P Olsen
6309,person,name,Adjunkt Dybdahl
77,person,name,Grundtvig  Frederik Lange
1148,person,name,Dyrlæge P Jensen
2428,person,name,Rasmus Hornbæk
7208,person,name,Vilhelmine Jensen
7681,person,name,Jensen  P K
3102,person,name,J Gr Pinholt
5817,person,name,Anders Pedersen
3972,person,name,Jens Johansen
7004,person,name,Seminarist A Gejlager
3326,person,name,Maren Kristiansdatter
4571,person,name,Lærer Povl Hansen
2839,person,name,H  F  Feilberg
4070,person,name,Severine Kirstine Andreassen
1536,person,name,Ane Nielsen
6698,person,name,Iver Kristian Jensen
3340,person,name,Jens Kristensen Brahms
1144,person,name,Valdemar Bennike
6269,person,name,Mette Katrine Thomasdatter
2550,person,name,Klavdiane Jensen
6637,person,name,Marie Nielsen
3743,person,name,Peder Lavrids Jakobsen
5467,person,name,Peder Bærtelsen Buder
3317,person,name,Anders Olesen
2363,person,name,Laurits Kristensen  Søe
4626,person,name,Ane Marie Jensdatter
7349,person,name,A Westergård
7184,person,name,Karen Bågø
8357,person,name,Tue Madsen
3946,person,name,Thomas Jensen
1361,person,name,J A Jensen
7630,person,name,Chr Bågø
5619,person,name,Karen Jensdatter
3438,person,name,Th  Kruse
7418,person,name,Møller  Carl
5211,person,name,Jens Kjellerup
8152,person,name,J  M  Jensen
7223,person,name,Iver Larsen
7527,person,name,Ane Marie Nielsen
5884,person,name,Martin Dyrholm
6194,person,name,Jes P  Smidt
5646,person,name,Jens Holst
7159,person,name,Seminarist H Johansen
5860,person,name,Povl Thomsen og Ole Bæk
816,person,name,Pastor C M Carstensen
7334,person,name,Chr Olsen
4365,person,name,Marie Kalmar
7444,person,name,Ravn  J J
4830,person,name,A  Smith
8388,person,name,R  Thomsen
2703,person,name,K  N  Stegger
5455,person,name,Steffen Sørensen
8400,person,name,Markussen
7567,person,name,Jensen  Mette Katrine Bolette
7247,person,name,Seminarist A K Jensen
8014,person,name,Jensen  Thomasine
4870,person,name,Jørgen Jakobsen
2849,person,name,Kristen Ebbesen
